City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
sibu,75,MY,4,94,2.29,111.83,77,3.71
bandarbeyla,92,SO,4,100,9.49,50.81,78.47,12.77
laguna,75,MX,4,34,27.52,-110.01,80.6,6.93
sentyabrskiy,,,,,,,,
ucluelet,75,CA,4,38,48.94,-125.55,46,5.82
skalistyy,,,,,,,,
daru,0,SL,4,55,7.99,-10.85,77.57,10.09
popondetta,68,PG,4,91,-8.77,148.24,73.97,0.69
talnakh,80,RU,4,84,69.49,88.39,21.14,17.58
puerto carreno,40,CO,4,44,6.19,-67.49,93.2,3.38
ezhou,92,CN,4,100,30.41,114.88,49.18,7.74
karakendzha,,,,,,,,
aripuana,8,BR,4,75,-9.17,-60.63,81.58,2.59
neuquen,0,AR,4,26,-38.95,-68.06,69.8,9.17
jabinyanah,20,TN,4,87,35.03,10.91,48.2,3.36
tianpeng,92,CN,4,100,28.88,112.34,50.35,9.53
zhezkazgan,24,KZ,4,79,47.8,67.71,7.91,9.19
mahibadhoo,56,MV,4,97,3.78,72.97,83.92,10.42
soller,75,DE,4,65,50.73,6.56,46,17.22
carutapera,80,BR,4,92,-1.2,-46.02,78.07,5.95
kalanchak,0,UA,4,87,46.26,33.28,40.49,17.13
malwan,,,,,,,,
gilazi,,,,,,,,
sao joao da barra,20,BR,4,88,-21.64,-41.05,78.8,5.82
puerto rico,12,PY,4,54,-26.82,-55.03,82.79,4.38
srednekolymsk,88,RU,4,71,67.46,153.71,-10.68,3.6
ca mau,92,VN,4,96,9.18,105.15,74.42,4.5
yumen,12,CN,4,77,40.29,97.04,19.79,5.95
puerto lempira,40,HN,4,69,15.27,-83.77,82.4,9.17
roald,32,NO,4,50,62.58,6.12,35.01,27.51
nioro,0,GM,4,29,13.79,-15.05,67.94,10.2
sogdiondon,,,,,,,,
batagay-alyta,24,RU,4,26,67.8,130.41,-19.63,5.61
fenoarivo,75,MG,4,93,-18.93,47.44,66.2,3.36
bathsheba,40,BB,4,83,13.22,-59.52,77,21.92
lolua,,,,,,,,
mayo,5,CA,4,46,63.59,-135.9,10.4,3.36
husavik,44,CA,4,73,50.56,-96.99,12,15.99
sakakah,,,,,,,,
angoche,88,MZ,4,100,-16.23,39.91,79.33,15.23
port-gentil,40,GA,4,88,-0.72,8.78,80.6,4.7
high prairie,0,CA,4,50,55.43,-116.48,15.29,5.17
vancouver,1,US,4,26,45.63,-122.67,45,16.11
sande,75,DE,4,65,51.76,8.66,44.6,20.8
tombouctou,0,ML,4,31,16.77,-3.01,58.63,6.06
emerald,76,AU,4,51,-23.53,148.16,81,11.41
itarantim,44,BR,4,82,-15.65,-40.06,74.02,4.16
hirara,40,JP,4,72,24.8,125.28,62.6,5.82
rudsar,75,IR,4,93,37.14,50.29,48.2,2.59
minna,0,NG,4,48,9.62,6.55,86,3.36
rapid valley,1,US,4,43,44.06,-103.15,18,6.93
dolbeau,,,,,,,,
odweyne,,,,,,,,
mosquera,75,CO,4,82,4.71,-74.23,60.8,5.82
madang,88,PG,4,98,-5.21,145.81,78.16,2.37
portland,1,US,4,28,45.52,-122.67,45,20.8
khandagayty,12,MN,4,57,50.73,92.07,-1.36,2.59
tiznit,0,MA,4,92,29.7,-9.73,53.05,2.48
sindor,0,RU,4,46,62.87,51.9,-16.26,5.61
lamu,0,ID,4,86,0.57,122.3,77.21,2.82
la ronge,5,CA,4,44,55.1,-105.3,21.2,11.41
kavieng,92,PG,4,100,-2.57,150.8,83.96,4.83
bangkalan,20,ID,4,100,-7.05,112.74,78.8,2.24
malumfashi,0,NG,4,54,11.79,7.62,69.34,3.49
multai,0,IN,4,64,21.77,78.26,60.74,6.51
grand centre,,,,,,,,
taksimo,0,RU,4,60,56.36,114.84,-4.69,2.04
umm kaddadah,0,SD,4,30,13.6,26.69,66.14,9.08
xadani,,,,,,,,
moron,8,VE,4,85,10.49,-68.2,71.77,3.38
manbij,75,SY,4,93,36.53,37.96,45,3.15
thinadhoo,92,MV,4,100,0.53,72.93,82.84,3.71
slidell,75,US,4,52,30.28,-89.78,48.99,10.29
lyngdal,92,NO,4,100,58.14,7.07,39.99,2.93
soyo,92,AO,4,90,-6.13,12.37,79.82,3.38
tigre,0,AR,4,73,-34.42,-58.58,73.4,5.28
tibati,36,CM,4,91,6.47,12.63,68.84,5.73
bollnas,92,SE,4,82,61.35,16.39,26.32,9.98
tambacounda,0,SN,4,20,13.77,-13.67,68.44,10.09
fare,76,PF,4,100,-16.7,-151.02,82.39,5.61
mannarakkat,40,IN,4,83,10.98,76.47,77,3.36
dombarovskiy,76,RU,4,90,50.76,59.54,24.61,10.09
yulara,0,AU,4,20,-25.24,130.99,86,8.05
auki,8,NG,4,57,12.18,6.51,68.35,3.49
naron,20,ES,4,81,43.52,-8.15,55.99,10.29
mehamn,75,NO,4,85,71.03,27.85,17.6,26.4
sumbawanga,56,TZ,4,100,-7.95,31.62,67.49,3.6
mitzic,24,GA,4,90,0.78,11.55,72.31,2.15
eirunepe,20,BR,4,86,-6.66,-69.87,81.4,2.04
ancud,75,CL,4,81,-41.87,-73.83,53.6,12.75
hapao,12,PH,4,80,16.88,121.02,66.28,3.15
tilichiki,88,RU,4,82,60.47,166.1,18.04,12.44
spearfish,1,US,4,40,44.49,-103.86,16,18.34
puri,20,ID,4,100,-7.54,112.45,78.8,2.24
kalianget,68,ID,4,100,-7.74,113.68,76.81,1.36
pendleton,90,US,4,57,34.65,-82.78,51.8,10.29
nynashamn,92,SE,4,96,58.9,17.95,35.01,12.75
naryan-mar,48,RU,4,67,67.67,53.09,-5.23,10.2
